id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
119,5,T2,9,5.14208762085,1110.0,1710.0,5060,509,NA,614.098394237,753.878329657,919.867002968,1181.95438188
119,6,T3,8,5.14052907927,1166.0,1766.0,6060,608,NA,607.546209764,764.798637111,951.535894586,1246.38419586
119,7,T4,7,7.0,NA,NA,7071,707,1.0,392.870641948,616.009034539,880.985875741,1299.37036185
119,10,T1.4,5,4.85971091964,1422.0,2022.0,10050,1005,NA,572.164413611,823.768297367,1524.92147051,1996.67875256
119,10,T4.1,6,5.25338900713,1336.0,1936.0,10060,1006,NA,587.889656346,797.559559475,1159.43140104,1552.56246941
119,10,T7,6,5.14504303891,1335.0,1935.0,10060,1006,NA,587.889656346,797.559559475,1159.43140104,1552.56246941
120,1,MS,13,13.0,NA,NA,1131,113,1.0,184.109769813,333.130613602,659.745497652,939.179178725
120,4,T1,10,10.0,NA,NA,4101,410,1.0,415.982646385,572.179521198,757.66331004,1050.53245032
120,5,T2,10,5.52265462039,1095.0,1695.0,5060,510,NA,617.349077085,743.151018963,892.540824943,1128.41946596
120,6,T1.0,9,5.7418511541,1124.0,1724.0,6060,609,NA,612.107329507,751.887264927,917.875938237,1179.96331715
120,6,T3,9,5.30233951918,1124.0,1724.0,6060,609,NA,612.107329507,751.887264927,917.875938237,1179.96331715
120,10,T1.0.2,7,5.28141666955,1254.0,1854.0,10060,1007,NA,597.130907855,776.84796768,993.693991196,1330.66347837
120,10,T1.4,7,5.48569106771,1254.0,1854.0,10060,1007,NA,597.130907855,776.84796768,993.693991196,1330.66347837
120,10,T7,6,5.26713972335,1351.0,1951.0,10060,1006,NA,585.898591616,795.568494745,1157.44033631,1550.57140468
121,1,MS,12,12.0,NA,NA,1121,112,1.0,185.869852016,347.306890019,671.47415817,974.168604425
121,4,T1,9,9.0,NA,NA,4091,409,1.0,415.874027532,589.426110658,795.519209371,1120.92936523
121,5,T2,9,4.93604946585,1092.0,1692.0,5050,509,NA,618.506913771,758.286849191,924.275522502,1186.36290141
121,6,T1.0,8,5.12179836219,1126.0,1726.0,6060,608,NA,611.954729299,769.207156646,955.94441412,1250.7927154
121,6,T3,8,4.72336540742,1125.0,1725.0,6050,608,NA,611.954729299,769.207156646,955.94441412,1250.7927154
121,7,T2.0,7,7.0,NA,NA,7071,707,1.0,397.279161483,620.417554074,885.394395275,1303.77888138
121,10,T1.4,6,5.02477296901,1302.0,1902.0,10060,1006,NA,592.29817588,801.96807901,1163.83992057,1556.97098894
