treatment	variety	year	bloc	volume	concentration	plant	leaf	absorbance	dilution	coef
T1	Rht3	2011	1	80	240	2	F3	0,326	2	0,0448
T1	Rht3	2011	1	80	240	3	F1	0,997	2	0,0448
T1	Rht3	2011	1	80	240	3	F2	0,978	4	0,0448
T1	Rht3	2011	1	80	240	3	F3	0,646	2	0,0448
T1	Rht3	2011	1	80	240	4	F1	0,430	2	0,0448
T1	Rht3	2011	1	80	240	4	F2	0,820	2	0,0448
T1	Rht3	2011	1	80	240	4	F3	0,883	2	0,0448
T1	Rht3	2011	1	80	240	5	F1	0,797	2	0,0448
T1	Rht3	2011	1	80	240	5	F2	0,638	4	0,0448
T1	Rht3	2011	1	80	240	5	F3	0,428	2	0,0448
T1	Rht3	2011	1	80	240	6	F1	0,497	2	0,0448
T1	Rht3	2011	1	80	240	6	F2	0,889	2	0,0448
T1	Rht3	2011	1	80	240	6	F3	0,441	2	0,0448
T1	Rht3	2011	1	80	240	7	F1	0,895	2	0,0448
T1	Rht3	2011	1	80	240	7	F2	0,394	2	0,0448
T1	Rht3	2011	1	80	240	7	F3	0,888	2	0,0448
T1	Rht3	2011	1	80	240	7	F4	0,379	2	0,0448
T1	Rht3	2011	1	80	240	8	F1	0,296	2	0,0448
T1	Rht3	2011	1	80	240	8	F2	0,634	2	0,0448
T1	Rht3	2011	1	80	240	8	F3	0,665	2	0,0448
T1	Rht3	2011	1	80	240	9	F1	0,376	2	0,0448
T1	Rht3	2011	1	80	240	9	F2	0,436	8	0,0448
T1	Rht3	2011	1	80	240	9	F3	0,733	2	0,0448
T1	Rht3	2011	1	80	240	10	F1	0,770	8	0,0448
T1	Rht3	2011	1	80	240	10	F2	0,421	8	0,0448
T1	Rht3	2011	1	80	240	10	F3	0,529	4	0,0448
T1	Rht3	2011	1	80	240	10	F4	0,724	2	0,0448
T1	Rht3	2011	1	80	240	11	F1	0,747	2	0,0448
T1	Rht3	2011	1	80	240	11	F2	0,524	4	0,0448
T1	Rht3	2011	1	80	240	11	F3	0,589	2	0,0448
T1	Rht3	2011	1	80	240	12	F1	0,588	2	0,0448
T1	Rht3	2011	1	80	240	12	F2	0,694	2	0,0448
T1	Rht3	2011	1	80	240	12	F3	0,816	2	0,0448
T1	Rht3	2011	1	80	240	13	F1	0,434	8	0,0448
T1	Rht3	2011	1	80	240	13	F2	0,524	4	0,0448
T1	Rht3	2011	1	80	240	13	F3	0,705	2	0,0448
T1	Rht3	2011	1	80	240	14	F1	0,930	2	0,0448
T1	Rht3	2011	1	80	240	14	F2	0,484	8	0,0448
T1	Rht3	2011	1	80	240	14	F3	0,570	2	0,0448
T1	Rht3	2011	1	80	240	15	F1	0,463	2	0,0448
T1	Rht3	2011	1	80	240	15	F2	0,740	2	0,0448
T1	Rht3	2011	1	80	240	15	F3	0,596	2	0,0448
T1	Rht3	2011	1	80	240	16	F1	0,441	4	0,0448
T1	Rht3	2011	1	80	240	16	F2	0,580	4	0,0448
T1	Rht3	2011	1	80	240	16	F3	0,391	2	0,0448
T1	Rht3	2011	1	80	240	17	F1	0,634	2	0,0448
T1	Rht3	2011	1	80	240	17	F2	0,928	2	0,0448
T1	Rht3	2011	1	80	240	17	F3	0,640	2	0,0448
T1	Rht3	2011	1	80	240	18	F1	0,570	2	0,0448
T1	Rht3	2011	1	80	240	18	F2	0,566	4	0,0448
T1	Rht3	2011	1	80	240	18	F3	0,600	2	0,0448
T1	Rht3	2011	1	80	240	19	F1	0,501	2	0,0448
T1	Rht3	2011	1	80	240	19	F2	0,542	4	0,0448
T1	Rht3	2011	1	80	240	19	F3	0,823	2	0,0448
T1	Rht3	2011	1	80	240	20	F1	0,582	2	0,0448
T1	Rht3	2011	1	80	240	20	F2	0,681	2	0,0448
T1	Rht3	2011	1	80	240	20	F3	0,782	2	0,0448
T1	Rht3	2011	1	150	240	1	F1	0,635	4	0,0448
T1	Rht3	2011	1	150	240	1	F2	0,542	2	0,0448
T1	Rht3	2011	1	150	240	1	F3	0,703	4	0,0448
T1	Rht3	2011	1	150	240	1	F4	0,324	2	0,0448
T1	Rht3	2011	1	150	240	2	F1	0,991	4	0,0448
