variety;date;blo;plant;axis;num_leaf_bottom;num_leaf_top;fnl;green;necro_tot;length;green_length;senesced_length
tremie;19/04/2013;1;8;MS;5;;12;0;100;;;
tremie;19/04/2013;1;9;MS;5;;11;0;100;;;
tremie;19/04/2013;1;10;MS;5;;12;0;100;;;
tremie;19/04/2013;1;11;MS;5;;11;0;100;;;
tremie;19/04/2013;1;12;MS;5;;12;0;100;;;
tremie;19/04/2013;1;13;MS;5;;11;0;100;;;
tremie;19/04/2013;1;14;MS;5;;11;0;100;;;
tremie;19/04/2013;1;15;MS;5;;12;0;100;;;
tremie;19/04/2013;2;16;MS;5;;11;0;100;;;
tremie;19/04/2013;2;17;MS;5;;11;0;100;;;
tremie;19/04/2013;2;18;MS;5;;12;0;100;;;
