"Date","label","Trt","Rep","N","Axis","Nflig","Nfvis","nff","HS","SSI","GL"
"09/06/2011","Rht3","T1+T2",1,4,"MB",NA,NA,NA,NA,NA,NA
"18/04/2011","Rht3","T1+T2",1,4,"MB",8,1,NA,NA,NA,NA
"19/01/2011","Rht3","T1+T2",1,4,"MB",3,1,NA,NA,NA,NA
"26/05/2011","Rht3","T1+T2",1,4,"MB",NA,NA,NA,NA,NA,NA
"27/04/2011","Rht3","T1+T2",1,4,"MB",10,1,NA,NA,6.3,NA
"01/06/2011","Rht3","T1+T2",1,5,"MB",11,0,11,11,8.01,2.99
"09/06/2011","Rht3","T1+T2",1,5,"MB",11,0,11,11,NA,NA
"18/04/2011","Rht3","T1+T2",1,5,"MB",8,1,11,8.73156342182891,NA,NA
"19/01/2011","Rht3","T1+T2",1,5,"MB",3,1,11,3.49652013460259,0,3.49652013460259
"26/05/2011","Rht3","T1+T2",1,5,"MB",11,0,11,11,7.18,3.82
"27/04/2011","Rht3","T1+T2",1,5,"MB",9,1,11,9.44347826086956,6.2,3.24347826086956
"01/06/2011","Rht3","T1+T2",1,6,"MB",12,0,12,12,9.025,2.975
"09/06/2011","Rht3","T1+T2",1,6,"MB",12,0,12,12,9.4,2.6
"18/04/2011","Rht3","T1+T2",1,6,"MB",9,1,12,9.74418604651163,NA,NA
"19/01/2011","Rht3","T1+T2",1,6,"MB",3,1,12,NA,0,NA
"26/05/2011","Rht3","T1+T2",1,6,"MB",12,0,12,12,8.18,3.82
"27/04/2011","Rht3","T1+T2",1,6,"MB",11,1,12,11.242774566474,7.1,4.14277456647399
"01/06/2011","Rht3","T1+T2",1,7,"MB",NA,NA,NA,NA,NA,NA
"09/06/2011","Rht3","T1+T2",1,7,"MB",NA,NA,NA,NA,NA,NA
"18/04/2011","Rht3","T1+T2",1,7,"MB",8,1,NA,NA,NA,NA
"19/01/2011","Rht3","T1+T2",1,7,"MB",3,1,NA,NA,NA,NA
"26/05/2011","Rht3","T1+T2",1,7,"MB",NA,NA,NA,NA,NA,NA
"27/04/2011","Rht3","T1+T2",1,7,"MB",NA,NA,NA,NA,NA,NA
"01/06/2011","Rht3","T1+T2",1,8,"MB",12,0,12,12,9.029,2.971
"09/06/2011","Rht3","T1+T2",1,8,"MB",12,0,12,12,9.96,2.04
"18/04/2011","Rht3","T1+T2",1,8,"MB",9,1,12,9.70866141732284,NA,NA
"19/01/2011","Rht3","T1+T2",1,8,"MB",4,1,12,4.47280608171073,0.02,4.45280608171073
"26/05/2011","Rht3","T1+T2",1,8,"MB",12,0,12,12,8.8,3.2
"27/04/2011","Rht3","T1+T2",1,8,"MB",10,1,12,11.1226310311646,7.4,3.72263103116462
"01/06/2011","Rht3","T1+T2",1,9,"MB",NA,NA,NA,NA,NA,NA
"09/06/2011","Rht3","T1+T2",1,9,"MB",NA,NA,NA,NA,NA,NA
"18/04/2011","Rht3","T1+T2",1,9,"MB",8,1,NA,NA,NA,NA
"19/01/2011","Rht3","T1+T2",1,9,"MB",3,1,NA,NA,NA,NA
"26/05/2011","Rht3","T1+T2",1,9,"MB",NA,NA,NA,NA,NA,NA
"27/04/2011","Rht3","T1+T2",1,9,"MB",NA,NA,NA,NA,NA,NA
"01/06/2011","Rht3","T1+T2",1,10,"MB",NA,NA,NA,NA,NA,NA
"09/06/2011","Rht3","T1+T2",1,10,"MB",NA,NA,NA,NA,NA,NA
"18/04/2011","Rht3","T1+T2",1,10,"MB",8,1,NA,NA,NA,NA
"19/01/2011","Rht3","T1+T2",1,10,"MB",3,1,NA,NA,NA,NA
"26/05/2011","Rht3","T1+T2",1,10,"MB",NA,NA,NA,NA,NA,NA
"27/04/2011","Rht3","T1+T2",1,10,"MB",NA,NA,NA,NA,NA,NA
"01/06/2011","Rht3","T1+T2",1,11,"MB",11,0,11,11,8.097,2.903
"09/06/2011","Rht3","T1+T2",1,11,"MB",11,0,11,11,9.03,1.97
