id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
91,1,MS,11,11.0,NA,NA,1111,111,1.0,-9.55321169448,182.673109787,661.202409739,1021.62676252
91,4,T1,9,9.0,NA,NA,4091,409,1.0,297.124661597,478.285154505,741.486753481,1081.16267768
91,5,T2,8,3.45126198221,1032.0,1632.0,5040,508,NA,713.74968335,838.463717898,955.123364989,1188.96217977
91,7,T1.1,7,4.77919667455,1141.0,1741.0,7050,707,NA,543.745539877,720.659661807,994.403426822,1326.11740544
91,7,T2.0,6,4.81323841593,1185.0,1785.0,7050,706,NA,532.688407256,739.088216175,1067.77126026,1454.77090198
91,7,T4,7,4.77015273853,1140.0,1740.0,7050,707,NA,543.745539877,720.659661807,994.403426822,1326.11740544
92,1,MS,11,11.0,NA,NA,1111,111,1.0,-0.776491427844,191.449830054,669.979130006,1030.40348278
92,4,T1,8,8.0,NA,NA,4081,408,1.0,297.409483758,501.21503828,797.316837128,1179.45225186
92,5,T2,8,3.05355213199,1001.0,1601.0,5040,508,NA,722.526403616,847.240438164,963.900085255,1197.73890003
92,6,T1.0,7,6.11188371097,1271.0,1871.0,6070,607,NA,403.991041103,612.174893357,952.401312787,1342.74603576
92,6,T3,7,6.11188371097,1271.0,1871.0,6070,607,NA,403.991041103,612.174893357,952.401312787,1342.74603576
92,7,T2.0,7,5.05216282036,1103.0,1703.0,7060,707,NA,552.522260144,729.436382074,1003.18014709,1334.89412571
92,7,T4,7,4.42648316972,1102.0,1702.0,7050,707,NA,552.522260144,729.436382074,1003.18014709,1334.89412571
93,1,MS,11,11.0,NA,NA,1111,111,1.0,-8.68667547357,183.539646008,662.06894596,1022.49329874
93,5,T2,7,3.24436785955,1052.0,1652.0,5040,507,NA,707.935110577,850.465435775,995.269963043,1262.51432279
93,6,T3,7,6.5192159756,1324.0,1924.0,6070,607,NA,396.080857057,604.264709312,944.491128742,1334.83585172
93,7,T2.0,7,5.28571877085,1137.0,1737.0,7060,707,NA,544.612076098,721.526198028,995.269963043,1326.98394166
94,1,MS,12,12.0,NA,NA,1121,112,1.0,5.99806680361,182.205528162,666.224774833,996.61376488
