index,axe,hins,rank,ranktop,plant,inerv,x,y,variety_name,side,harvest,relative_ranktop
6,MS,3.36374629535,3,10.0,21,9908,2.23199887485,1.25969213835,Tremie12,1,1,6
7,MS,3.36374629535,3,10.0,21,9908,2.62754724455,1.42791050181,Tremie12,1,1,6
8,MS,3.36374629535,3,10.0,21,9908,3.02739923638,1.58460116642,Tremie12,1,1,6
9,MS,3.36374629535,3,10.0,21,9908,3.43641367025,1.71674927827,Tremie12,1,1,6
10,MS,3.36374629535,3,10.0,21,9908,3.8455949993,1.84829343501,Tremie12,1,1,6
11,MS,3.36374629535,3,10.0,21,9908,4.26442804584,1.94491025399,Tremie12,1,1,6
12,MS,3.36374629535,3,10.0,21,9908,4.68326109238,2.04152707298,Tremie12,1,1,6
13,MS,3.36374629535,3,10.0,21,9908,5.10209413892,2.13814389196,Tremie12,1,1,6
14,MS,3.36374629535,3,10.0,21,9908,5.52309987258,2.22347828242,Tremie12,1,1,6
15,MS,3.36374629535,3,10.0,21,9908,5.94786041831,2.28931451385,Tremie12,1,1,6
16,MS,3.36374629535,3,10.0,21,9908,6.37409632589,2.34312893375,Tremie12,1,1,6
17,MS,3.36374629535,3,10.0,21,9908,6.8021715489,2.38195590933,Tremie12,1,1,6
18,MS,3.36374629535,3,10.0,21,9908,7.2302467719,2.4207828849,Tremie12,1,1,6
19,MS,3.36374629535,3,10.0,21,9908,7.65832199491,2.45960986048,Tremie12,1,1,6
0,MS,4.22252130985,5,9.0,1,58,-0.0436486206796,0.058568534998,Tremie12,1,1,4
1,MS,4.22252130985,5,9.0,1,58,0.344010774048,0.337661783725,Tremie12,1,1,4
2,MS,4.22252130985,5,9.0,1,58,0.731670168775,0.616755032452,Tremie12,1,1,4
3,MS,4.22252130985,5,9.0,1,58,1.1193295635,0.895848281179,Tremie12,1,1,4
4,MS,4.22252130985,5,9.0,1,58,1.52069457818,1.15443462612,Tremie12,1,1,4
5,MS,4.22252130985,5,9.0,1,58,1.92683725355,1.4058724416,Tremie12,1,1,4
6,MS,4.22252130985,5,9.0,1,58,2.33297992892,1.65731025707,Tremie12,1,1,4
7,MS,4.22252130985,5,9.0,1,58,2.73912260428,1.90874807255,Tremie12,1,1,4
8,MS,4.22252130985,5,9.0,1,58,3.15506596188,2.14328811258,Tremie12,1,1,4
9,MS,4.22252130985,5,9.0,1,58,3.57498880465,2.37096695201,Tremie12,1,1,4
10,MS,4.22252130985,5,9.0,1,58,3.99640255846,2.59578895379,Tremie12,1,1,4
11,MS,4.22252130985,5,9.0,1,58,4.42332426693,2.81005678301,Tremie12,1,1,4
12,MS,4.22252130985,5,9.0,1,58,4.85641344237,3.0114906364,Tremie12,1,1,4
13,MS,4.22252130985,5,9.0,1,58,5.2904461216,3.21096113839,Tremie12,1,1,4
14,MS,4.22252130985,5,9.0,1,58,5.72447880083,3.41043164038,Tremie12,1,1,4
15,MS,4.22252130985,5,9.0,1,58,6.16449419392,3.5961748927,Tremie12,1,1,4
16,MS,4.22252130985,5,9.0,1,58,6.60607699246,3.77832175608,Tremie12,1,1,4
17,MS,4.22252130985,5,9.0,1,58,7.05048921838,3.95327371241,Tremie12,1,1,4
18,MS,4.22252130985,5,9.0,1,58,7.49785687679,4.12071034524,Tremie12,1,1,4
19,MS,4.22252130985,5,9.0,1,58,7.9452245352,4.28814697807,Tremie12,1,1,4
0,MS,5.38861889936,6,8.0,1,70,-0.0577862029787,0.0501247204074,Tremie12,1,1,3
1,MS,5.38861889936,6,8.0,1,70,0.329880686837,0.494106530325,Tremie12,1,1,3
2,MS,5.38861889936,6,8.0,1,70,0.717547576653,0.938088340242,Tremie12,1,1,3
3,MS,5.38861889936,6,8.0,1,70,1.10521446647,1.38207015016,Tremie12,1,1,3
4,MS,5.38861889936,6,8.0,1,70,1.51370644412,1.80663660528,Tremie12,1,1,3
5,MS,5.38861889936,6,8.0,1,70,1.9294710252,2.22442276842,Tremie12,1,1,3
6,MS,5.38861889936,6,8.0,1,70,2.34523560628,2.64220893157,Tremie12,1,1,3
7,MS,5.38861889936,6,8.0,1,70,2.76100018737,3.05999509471,Tremie12,1,1,3
8,MS,5.38861889936,6,8.0,1,70,3.19262946581,3.46110074497,Tremie12,1,1,3
9,MS,5.38861889936,6,8.0,1,70,3.63072189011,3.85541089291,Tremie12,1,1,3
10,MS,5.38861889936,6,8.0,1,70,4.07135814293,4.24680551416,Tremie12,1,1,3
11,MS,5.38861889936,6,8.0,1,70,4.52140896105,4.62740993624,Tremie12,1,1,3
12,MS,5.38861889936,6,8.0,1,70,4.98249160883,4.99450905215,Tremie12,1,1,3
13,MS,5.38861889936,6,8.0,1,70,5.44526102167,5.35954320882,Tremie12,1,1,3
14,MS,5.38861889936,6,8.0,1,70,5.90803043451,5.72457736549,Tremie12,1,1,3
15,MS,5.38861889936,6,8.0,1,70,6.38209258263,6.07469065697,Tremie12,1,1,3
16,MS,5.38861889936,6,8.0,1,70,6.85909686443,6.42091656609,Tremie12,1,1,3
17,MS,5.38861889936,6,8.0,1,70,7.34178210847,6.75902652949,Tremie12,1,1,3
